retail,ASIN,weight,dim,selling,channel
25.99,B00WZK3I4S,3.99918068,4.143026309,5.849999905,1
11.99,B08P5YC33Q,0.10361714,0.185266197,5.869999886,1
14.99,B01696AOH2,0.52029032,4.316438981,5.929999828,1
22.71,B004GF1O64,0.87964338,1.446569004,5.949999809,1
22.93,B004NBQJYS,2.50003908,3.435766016,5.949999809,1
19.99,B004NBQK0Q,2.25091702,4.877944825,5.949999809,1
19.99,B008E4868M,2.74916114,4.234342349,5.949999809,1
19.99,B008E487BI,2.59924698,4.884091097,5.949999809,1
14.75,B07HGR3YZ7,0.26014516,0.978574297,5.949999809,1
14,B07HGSLDNQ,0.3968316,1.141450504,5.949999809,1
14,B07HGQ4Q5S,0.42108242,1.278863583,5.949999809,1
18.95,B002AQ755K,0.01984158,0.304240461,5.960000038,1
18.99,B00DYA3FIC,2.7998674,3.825615265,5.960000038,1
18.99,B00DYA3FIW,2.8439598,5.989102988,5.960000038,1
15.99,B0006I0EE8,0.50044874,0.028097243,5.989999771,1
12.99,B0000BXJ4P,0.3527392,0.784966731,5.989999771,1
19.99,B073Q8JHB6,0.14770954,0.45789726,6,1
19.99,B073Q8Q6P8,0.14991416,0.466677648,6,1
12.99,B08H3CM1NV,0.31085142,1.011061735,6,1
12.99,B089ZVP7W3,2.59924698,0.184388158,6,1
12.99,B0076ORRYA,0.31085142,0.67916305,6.019999981,1
12.99,B01375HIJU,0.2645544,0.918428636,6.019999981,1
17.88,B00OP86QSS,0.3968316,0.773991245,6.050000191,1
19.75,B00P9OJF9E,0.29982832,0.493896853,6.050000191,1
13.99,B00B8LEBB4,1.9510887,0.643163457,6.059999943,1
17.66,B00COEI4G2,2.20021076,1.991392109,6.059999943,1
14.99,B01CZ2ZW4O,2.7667981,1.517251131,6.079999924,1
15.24,B003399128,1.26104264,5.467547912,6.090000153,1
11.99,B081CHGF34,3.2628376,1.328472778,6.090000153,1
9.95,B01APG0YG8,0.35053458,0.037316651,6.119999886,1
16.99,B00BLTDIIU,0.20062042,0.032487437,6.150000095,1
17.96,B01LXFCRM9,4.08075162,1.023354278,6.190000057,1
21.99,B00074H7WI,0.8377556,1.939148798,6.199999809,1
14.99,B07V1PX4ZG,2.35012492,2.494947389,6.239999771,1
19.67,B01EO3SJSS,9.369635,1.437349596,6.25,1
15.99,B00I1BDTT4,0.0220462,0.241899703,6.260000229,1
19.99,B0062YVB4W,3.69935236,1.0374029,6.300000191,1
19.31,B0793D9Z4B,0.771617,1.409252353,6.300000191,1
16.65,B01M0CRH2V,5.11030916,1.036085842,6.369999886,1
15,B07665L62W,0.3968316,1.230132427,6.380000114,1
14.99,B00MOUCWS2,0.7495708,0.511896649,6.389999866,1
14.99,B00MOUUYA0,0.7495708,0.511896649,6.389999866,1
17.49,B00A6MKU7U,8.3003943,0.86179513,6.420000076,1
15.99,B07V9X9F7B,8.13945704,5.162868432,6.46999979,1
10.99,B0895RC3GV,0.70106916,1.709980658,6.480000019,1
