ASIN,channel,retail,1m,weight,selling
B07D2TT1DM,0,134.87,548.7251104,5.69012422,41.87
B0000ASB6E,0,14.53,135.3505666,5.14999232,4.51
B07YGVFLQ2,0,9.99,263.0731707,0.35053458,3.1
B07YGYX1K7,0,9.99,262.0967915,0.8598018,3.1
B081QVTBT3,0,9.99,227.1302114,0.8598018,3.1
B082MMRFLV,0,9.99,220.295557,0.440924,3.1
B083JX5M79,0,9.99,212.9116893,0.26014516,3.1
B084MFKT6N,0,9.99,203.819158,0.4629702,3.1
B0859PYJNB,0,9.99,196.3132429,0.440924,3.1
B087D6WC57,0,9.99,183.1931474,0.39903622,3.1
B0894MWL3B,0,9.99,174.0395924,0.39903622,3.1
B089NDYHFT,0,9.99,170.0730519,0.39903622,3.1
B08B458JGG,0,9.99,167.7541513,0.50044874,3.1
B08BXPMZW9,0,9.99,163.1163501,0.39903622,3.1
B08CNYT22Q,0,9.99,160.6143784,0.40565008,3.1
B08FJJ5SMR,0,9.99,154.2068899,0.50926722,3.1
B08G1WKVQC,0,9.99,153.3525581,0.72972922,3.1
B08GCN1FJ9,0,9.99,152.8033448,0.35935306,3.1
B08GFCCB59,0,9.99,151.4608234,0.50926722,3.1
B08GHGMDBX,0,9.99,151.2167286,0.440924,3.1
B08HR4K9Y5,0,9.99,148.0434962,0.39903622,3.1
B08HYRKJWF,0,9.99,147.3112118,0.54895038,3.1
B08J25SDN6,0,9.99,147.0060933,0.5291088,3.1
B08JG3GMMX,0,9.99,146.5179037,0.7275246,3.1
B08JPQ3M75,0,9.99,145.9076667,0.42108242,3.1
B08KSJT19N,0,9.99,142.795458,0.3527392,3.1
B08L5JC6KR,0,9.99,142.185221,0.330693,3.1
B08LP7CFC4,0,9.99,141.3919129,0.50926722,3.1
B08M63TSNG,0,9.99,139.4391545,0.42108242,3.1
B08MPR7QS4,0,9.99,138.8289175,0.330693,3.1
B08MQJPSBB,0,9.99,138.2186805,0.42108242,3.1
B08N3YCFBB,0,9.99,137.6084435,0.42108242,3.1
B08NCWMZ8S,0,9.99,137.1812776,0.4850164,3.1
B08ND3CRV1,0,9.99,137.0592302,0.3747854,3.1
B08NFBF1DT,0,9.99,136.5100169,0.48942564,3.1
B08NFD8Z1N,0,9.99,136.4489932,0.37037616,3.1
B0006MY7GK,0,9.99,134.862377,0.440924,3.1
B000B7MWEE,0,9.99,134.0690689,0.46076558,3.1
B000E5R6OE,0,9.99,133.5198556,0.39903622,3.1
B000P7BMR8,0,9.99,132.8485949,0.4629702,3.1
B0030E6O30,0,9.99,129.0041018,0.42108242,3.1
B007GE2XXA,0,9.99,124.7934665,0.4519471,3.1
B00FXOFM4M,0,9.99,120.2777127,0.31085142,3.1
B00IP4B2QY,0,9.99,118.9351913,0.50044874,3.1
B00ITPPRAG,0,9.99,118.9351913,0.50044874,3.1
B00J0TGF7E,0,9.99,118.9351913,0.50044874,3.1
